     OM      RW        f0      f1      f2      f3      f4      f5      f6       ~RW     MAG     ~OM  
  (dpt)    (dpt)    (dpt)   (dpt)   (dpt)   (dpt)   (dpt)   (dpt)   (dpt)     (dpt)   (dpt)   (dpt)
   1.23    3.03 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.35    0.99    0.00
   1.23    2.73 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.29    0.99    0.00
   1.23    2.43 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.22    0.99    0.00
   1.23    2.13 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.17    0.99    0.00
   1.23    1.83 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.12    0.99    0.00
   1.23    1.53 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.08    0.99    0.00
   1.23    1.23 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.05    0.99    0.00
   1.23    0.93 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.03    1.00    0.00
   1.23    0.63 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.01    1.00    0.00
   1.23    0.33 |   -5.00   16.27   20.00   28.57   28.57    4.00    8.55 |    0.01    1.01    0.00
------------------------------------------------------------------
   0.93    3.33 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.48    1.00    0.00
   0.93    3.03 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.40    1.00    0.00
   0.93    2.73 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.33    1.00    0.00
   0.93    2.43 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.27    1.00    0.00
   0.93    2.13 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.21    1.00    0.00
   0.93    1.83 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.15    1.00    0.00
   0.93    1.53 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.11    1.00    0.00
   0.93    1.23 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.07    1.00    0.00
